age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
50,Self-emp,HS-grad,Widowed,Sales,Wife,White,Female,55,Mexico,26354
31,Self-emp,PhD,Divorced,Exec-managerial,Own-child,Black,Female,36,Germany,55303
38,Government,Bachelors,Single,Craft-repair,Husband,Asian-Pac-Islander,Female,43,India,46161
37,Private,HS-grad,Widowed,Exec-managerial,Husband,White,Male,21,Philippines,70556
25,Private,Masters,Married,Sales,Wife,White,Male,59,India,71441
24,Government,PhD,Single,Sales,Unmarried,Other,Male,34,Germany,71966
20,Unemployed,Bachelors,Divorced,Other-service,Husband,White,Female,51,Germany,41576
34,Private,Some-college,Married,Craft-repair,Own-child,White,Male,58,India,79847
50,Self-emp,Masters,Married,Sales,Not-in-family,White,Male,25,Philippines,55264
29,Private,HS-grad,Married,Other-service,Not-in-family,Other,Male,20,India,74395
39,Self-emp,HS-grad,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Male,42,Germany,42460
39,Unemployed,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,58,Germany,45521
63,Government,HS-grad,Single,Exec-managerial,Wife,White,Female,36,Mexico,54110
47,Private,PhD,Widowed,Other-service,Own-child,Other,Male,53,Mexico,52278
55,Government,Bachelors,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,48,United-States,68822
55,Private,PhD,Widowed,Sales,Own-child,Asian-Pac-Islander,Female,28,Germany,46518
62,Self-emp,HS-grad,Married,Tech-support,Own-child,Asian-Pac-Islander,Female,32,Mexico,67469
25,Government,Some-college,Divorced,Sales,Wife,Other,Female,25,India,60983
44,Private,Bachelors,Widowed,Other-service,Not-in-family,Other,Female,25,Philippines,46799
44,Self-emp,Bachelors,Single,Other-service,Wife,White,Male,39,India,59820
51,Government,Masters,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Male,22,Philippines,42901
38,Government,Masters,Single,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,36,Mexico,85253
47,Private,Some-college,Divorced,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,31,United-States,10035
50,Private,Bachelors,Single,Other-service,Wife,Other,Female,20,India,60094
45,Private,Some-college,Married,Craft-repair,Own-child,Other,Male,36,India,23531
64,Self-emp,Masters,Widowed,Exec-managerial,Own-child,Other,Female,22,India,46615
50,Private,Masters,Single,Sales,Husband,Amer-Indian-Eskimo,Male,45,Philippines,48715
22,Government,Bachelors,Divorced,Exec-managerial,Unmarried,Other,Female,34,Mexico,72614
36,Government,PhD,Widowed,Sales,Own-child,White,Male,55,India,39617
21,Private,HS-grad,Widowed,Other-service,Husband,Other,Female,51,India,69620
52,Private,Masters,Divorced,Exec-managerial,Own-child,Black,Male,51,United-States,32317
34,Unemployed,Masters,Single,Sales,Unmarried,Amer-Indian-Eskimo,Female,23,United-States,70200
61,Government,PhD,Married,Other-service,Not-in-family,Black,Male,37,Mexico,42884
45,Self-emp,PhD,Married,Craft-repair,Unmarried,Other,Male,38,Mexico,51101
47,Unemployed,Some-college,Single,Sales,Wife,White,Male,54,Germany,44954
46,Private,Some-college,Widowed,Craft-repair,Own-child,Asian-Pac-Islander,Male,59,United-States,69235
63,Private,HS-grad,Widowed,Craft-repair,Own-child,Other,Male,33,Germany,66316
23,Government,HS-grad,Widowed,Tech-support,Wife,White,Male,52,Philippines,56652
52,Private,Bachelors,Widowed,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,33,Germany,32721
58,Self-emp,Some-college,Single,Sales,Not-in-family,Black,Female,53,India,39274
54,Government,Masters,Widowed,Craft-repair,Own-child,Black,Female,23,Germany,34571
41,Private,Some-college,Divorced,Tech-support,Own-child,Black,Female,43,Mexico,16277
46,Government,Masters,Widowed,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,48,Philippines,68919
63,Private,PhD,Married,Sales,Husband,White,Female,38,India,45082
48,Private,Some-college,Widowed,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,25,Germany,44922
52,Private,PhD,Single,Exec-managerial,Unmarried,Black,Male,52,Philippines,72441
50,Self-emp,HS-grad,Married,Tech-support,Own-child,Other,Male,59,Philippines,42860
38,Self-emp,HS-grad,Single,Craft-repair,Wife,Asian-Pac-Islander,Male,38,India,37392
49,Government,Bachelors,Single,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,20,Germany,46628
40,Private,Some-college,Married,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,24,Philippines,33009
50,Private,PhD,Single,Sales,Not-in-family,White,Female,46,Philippines,55165
20,Self-emp,Masters,Single,Sales,Unmarried,White,Female,35,United-States,44395
35,Private,HS-grad,Widowed,Sales,Own-child,Amer-Indian-Eskimo,Female,25,Philippines,42390
42,Self-emp,HS-grad,Divorced,Tech-support,Husband,Black,Male,59,United-States,41091
59,Private,Masters,Single,Sales,Husband,Asian-Pac-Islander,Male,32,Germany,48406
48,Government,PhD,Single,Exec-managerial,Wife,White,Male,54,Germany,51252
20,Private,PhD,Single,Craft-repair,Own-child,Black,Female,38,Germany,42200
57,Private,Some-college,Widowed,Other-service,Husband,Other,Male,31,Mexico,44618
63,Unemployed,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,35,Germany,48777
41,Self-emp,Bachelors,Married,Exec-managerial,Own-child,Black,Male,29,Philippines,47263
49,Private,HS-grad,Widowed,Sales,Not-in-family,Black,Male,44,India,50466
64,Private,Some-college,Widowed,Tech-support,Not-in-family,Asian-Pac-Islander,Female,39,United-States,39849
39,Unemployed,PhD,Divorced,Craft-repair,Husband,Asian-Pac-Islander,Male,50,Mexico,65068
40,Unemployed,Masters,Divorced,Tech-support,Own-child,Other,Male,23,Germany,51452
19,Self-emp,PhD,Widowed,Craft-repair,Unmarried,Black,Female,42,Germany,42442
44,Unemployed,HS-grad,Married,Craft-repair,Husband,Black,Male,21,India,55165
59,Government,PhD,Widowed,Tech-support,Husband,Asian-Pac-Islander,Female,41,India,48884
19,Unemployed,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,56,Mexico,23992
43,Government,HS-grad,Married,Craft-repair,Own-child,White,Male,27,United-States,55114
34,Self-emp,Masters,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,26,Germany,34707
57,Self-emp,Bachelors,Married,Craft-repair,Own-child,Asian-Pac-Islander,Male,33,Mexico,64016
50,Self-emp,HS-grad,Single,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,22,Philippines,46373
26,Self-emp,Masters,Divorced,Exec-managerial,Husband,Asian-Pac-Islander,Male,35,Philippines,61701
60,Self-emp,Bachelors,Divorced,Sales,Wife,Other,Male,38,Mexico,40546
56,Government,Bachelors,Widowed,Craft-repair,Unmarried,Black,Male,37,Germany,51048
46,Government,HS-grad,Divorced,Other-service,Husband,Other,Female,35,Mexico,68153
59,Self-emp,Some-college,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,27,Germany,45964
43,Unemployed,Bachelors,Single,Sales,Unmarried,Black,Male,52,India,41137
52,Private,Bachelors,Divorced,Craft-repair,Wife,White,Male,31,Mexico,59825
42,Self-emp,Masters,Single,Tech-support,Wife,White,Female,30,Germany,59534
41,Unemployed,PhD,Single,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,24,Mexico,41768
30,Private,HS-grad,Single,Other-service,Unmarried,Asian-Pac-Islander,Male,46,Mexico,20218
24,Self-emp,HS-grad,Single,Sales,Not-in-family,Asian-Pac-Islander,Female,31,Germany,40849
53,Self-emp,Some-college,Married,Craft-repair,Husband,White,Male,36,Germany,60160
62,Government,Some-college,Widowed,Tech-support,Unmarried,Other,Male,25,United-States,38374
37,Private,HS-grad,Married,Craft-repair,Husband,Black,Female,52,Mexico,49835
18,Private,Some-college,Divorced,Exec-managerial,Not-in-family,Other,Male,24,Philippines,40137
25,Unemployed,Masters,Married,Tech-support,Unmarried,Other,Male,47,Mexico,21017
63,Government,HS-grad,Married,Other-service,Not-in-family,White,Female,33,Mexico,39867
33,Government,Some-college,Divorced,Sales,Unmarried,White,Male,24,Germany,60096
31,Government,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,52,Mexico,14446
29,Government,PhD,Divorced,Tech-support,Wife,Amer-Indian-Eskimo,Male,38,Mexico,53782
40,Private,Bachelors,Married,Exec-managerial,Not-in-family,Other,Male,41,Philippines,32208
32,Private,HS-grad,Married,Tech-support,Wife,Asian-Pac-Islander,Female,24,Germany,59126
45,Self-emp,Bachelors,Divorced,Exec-managerial,Not-in-family,Black,Female,21,Mexico,60714
51,Self-emp,Some-college,Widowed,Other-service,Unmarried,Amer-Indian-Eskimo,Male,49,India,47420
19,Government,Bachelors,Widowed,Sales,Unmarried,Asian-Pac-Islander,Female,58,United-States,47454
49,Government,HS-grad,Single,Other-service,Unmarried,Other,Female,23,Philippines,37904
40,Government,PhD,Divorced,Craft-repair,Own-child,White,Male,52,Mexico,29816
39,Self-emp,Some-college,Single,Tech-support,Husband,Other,Male,32,India,75471
42,Unemployed,HS-grad,Widowed,Exec-managerial,Unmarried,Black,Male,39,Mexico,37023
39,Unemployed,Some-college,Single,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,26,Mexico,73516
39,Self-emp,Masters,Divorced,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,34,Germany,37107
59,Self-emp,Bachelors,Divorced,Tech-support,Own-child,Black,Female,42,Germany,57877
23,Self-emp,Masters,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Female,33,Germany,32932
32,Self-emp,HS-grad,Married,Other-service,Own-child,Asian-Pac-Islander,Male,42,India,57850
60,Self-emp,PhD,Single,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,38,Mexico,45116
54,Self-emp,Some-college,Widowed,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,48,United-States,45312
50,Government,Bachelors,Widowed,Other-service,Husband,White,Female,39,Philippines,59150
25,Government,Some-college,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Male,48,Germany,42962
61,Government,HS-grad,Married,Exec-managerial,Own-child,Black,Male,43,Germany,28577
61,Government,Some-college,Married,Tech-support,Husband,Asian-Pac-Islander,Male,37,Mexico,61419
22,Self-emp,Bachelors,Divorced,Tech-support,Own-child,White,Female,29,Mexico,32811
56,Unemployed,HS-grad,Widowed,Other-service,Own-child,Amer-Indian-Eskimo,Male,27,India,57747
21,Private,Some-college,Married,Sales,Own-child,Amer-Indian-Eskimo,Male,45,India,64594
23,Self-emp,PhD,Divorced,Other-service,Husband,White,Female,48,Germany,44367
62,Private,HS-grad,Widowed,Sales,Own-child,Black,Male,29,Mexico,67735
49,Unemployed,HS-grad,Single,Craft-repair,Husband,Amer-Indian-Eskimo,Female,36,United-States,57226
47,Government,PhD,Divorced,Craft-repair,Own-child,Other,Female,21,Philippines,39562
64,Unemployed,Masters,Married,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,25,Mexico,71021
52,Self-emp,Bachelors,Married,Sales,Own-child,Other,Male,24,Mexico,32874
57,Government,Masters,Divorced,Exec-managerial,Wife,White,Female,47,India,44349
33,Self-emp,Some-college,Divorced,Tech-support,Own-child,White,Male,24,Philippines,46905
30,Government,PhD,Married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,37,Germany,59078
59,Private,Masters,Single,Other-service,Own-child,Asian-Pac-Islander,Female,45,Mexico,66731
47,Private,HS-grad,Widowed,Tech-support,Wife,Other,Female,39,Germany,65791
36,Private,Some-college,Single,Tech-support,Wife,Black,Male,46,Mexico,53356
34,Unemployed,Some-college,Divorced,Other-service,Husband,Amer-Indian-Eskimo,Female,31,Germany,45795
36,Self-emp,Masters,Single,Tech-support,Unmarried,Black,Male,26,Philippines,22610
45,Unemployed,Masters,Married,Sales,Own-child,Amer-Indian-Eskimo,Male,22,India,30287
43,Private,PhD,Divorced,Exec-managerial,Husband,Asian-Pac-Islander,Male,29,Philippines,76499
54,Self-emp,Bachelors,Widowed,Tech-support,Unmarried,Asian-Pac-Islander,Male,53,United-States,22458
43,Private,Masters,Married,Sales,Own-child,Asian-Pac-Islander,Female,44,India,38232
40,Unemployed,Masters,Married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,54,Philippines,67169
26,Unemployed,HS-grad,Widowed,Sales,Own-child,White,Female,35,United-States,53145
29,Unemployed,Some-college,Widowed,Exec-managerial,Wife,White,Female,21,Mexico,63920
18,Private,Bachelors,Single,Sales,Wife,Other,Male,43,Mexico,58142
18,Self-emp,HS-grad,Divorced,Other-service,Not-in-family,Black,Female,29,Germany,72043
64,Self-emp,PhD,Widowed,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,57,India,54431
51,Private,PhD,Widowed,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,41,Mexico,59951
49,Self-emp,Masters,Divorced,Other-service,Own-child,White,Female,45,India,39136
42,Private,Masters,Widowed,Sales,Wife,Amer-Indian-Eskimo,Female,58,Mexico,58794
57,Self-emp,PhD,Widowed,Exec-managerial,Husband,White,Female,46,Germany,44058
62,Government,Masters,Single,Craft-repair,Not-in-family,Other,Female,48,Philippines,43203
18,Government,Bachelors,Married,Other-service,Wife,Black,Male,57,Germany,63420
33,Unemployed,Masters,Married,Craft-repair,Not-in-family,Other,Female,39,United-States,63524
56,Government,Some-college,Married,Sales,Own-child,Asian-Pac-Islander,Female,46,Mexico,75326
22,Government,Masters,Married,Craft-repair,Unmarried,Asian-Pac-Islander,Female,39,United-States,74348
39,Government,HS-grad,Widowed,Tech-support,Wife,Asian-Pac-Islander,Female,38,United-States,63759
46,Private,Bachelors,Divorced,Other-service,Wife,Other,Male,39,India,24193
20,Government,HS-grad,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,54,Mexico,77415
29,Government,HS-grad,Single,Sales,Husband,Black,Male,21,United-States,63769
43,Unemployed,Some-college,Single,Sales,Unmarried,Asian-Pac-Islander,Female,49,Philippines,38512
33,Government,Bachelors,Widowed,Craft-repair,Wife,Asian-Pac-Islander,Male,53,United-States,60933
54,Government,Bachelors,Divorced,Sales,Unmarried,Asian-Pac-Islander,Male,41,Philippines,34441
39,Self-emp,Bachelors,Divorced,Exec-managerial,Wife,Black,Male,22,India,59279
46,Unemployed,Bachelors,Married,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,25,United-States,30255
31,Unemployed,Bachelors,Widowed,Exec-managerial,Not-in-family,Black,Male,34,Germany,37876
45,Unemployed,Some-college,Widowed,Tech-support,Wife,Asian-Pac-Islander,Female,46,India,60648
22,Unemployed,Masters,Married,Craft-repair,Unmarried,Other,Female,29,Philippines,66093
64,Unemployed,HS-grad,Widowed,Tech-support,Husband,Other,Female,28,India,54881
47,Unemployed,Bachelors,Widowed,Sales,Not-in-family,Black,Male,52,United-States,45707
63,Private,Masters,Single,Tech-support,Not-in-family,Other,Female,51,Mexico,18277
22,Government,Masters,Divorced,Sales,Husband,Black,Male,25,Mexico,46864
29,Unemployed,HS-grad,Widowed,Sales,Unmarried,Other,Male,55,Philippines,58002
33,Government,Some-college,Single,Other-service,Own-child,Other,Female,21,Philippines,45248
43,Government,PhD,Divorced,Exec-managerial,Husband,Black,Female,48,Mexico,49661
43,Private,PhD,Married,Sales,Unmarried,Amer-Indian-Eskimo,Male,23,Philippines,47215
38,Unemployed,Masters,Single,Other-service,Husband,Other,Male,20,India,45174
56,Self-emp,HS-grad,Single,Exec-managerial,Husband,Asian-Pac-Islander,Female,38,Germany,51138
53,Private,PhD,Divorced,Sales,Wife,Amer-Indian-Eskimo,Female,45,Germany,45909
50,Self-emp,Masters,Married,Sales,Unmarried,Black,Female,44,India,71649
47,Government,Some-college,Single,Tech-support,Own-child,Amer-Indian-Eskimo,Female,29,Germany,16903
54,Government,PhD,Widowed,Tech-support,Wife,White,Male,34,United-States,41812
40,Private,Masters,Widowed,Exec-managerial,Husband,White,Female,41,India,36946
27,Private,Masters,Widowed,Sales,Husband,Other,Female,40,Philippines,53286
22,Self-emp,Bachelors,Married,Craft-repair,Husband,Other,Female,41,India,51157
53,Unemployed,Some-college,Single,Tech-support,Unmarried,Asian-Pac-Islander,Male,55,Mexico,74332
51,Self-emp,Bachelors,Widowed,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,53,Philippines,79267
48,Private,HS-grad,Married,Sales,Wife,White,Male,49,Mexico,38403
27,Self-emp,Bachelors,Widowed,Sales,Own-child,Other,Male,44,Philippines,50007
36,Private,Bachelors,Divorced,Craft-repair,Wife,Amer-Indian-Eskimo,Female,47,Germany,52944
49,Self-emp,PhD,Single,Exec-managerial,Not-in-family,Other,Male,20,India,38032
18,Private,Masters,Single,Sales,Husband,Other,Female,23,United-States,59425
22,Private,Some-college,Married,Tech-support,Husband,White,Female,26,Philippines,46407
62,Private,Bachelors,Married,Craft-repair,Husband,White,Female,28,Philippines,33985
21,Unemployed,Some-college,Single,Exec-managerial,Wife,Other,Female,55,Mexico,45806
33,Self-emp,Bachelors,Widowed,Craft-repair,Wife,Black,Male,38,Germany,35034
41,Self-emp,HS-grad,Widowed,Tech-support,Husband,Other,Male,20,Mexico,65549
33,Self-emp,Bachelors,Divorced,Exec-managerial,Wife,Other,Male,29,Mexico,78523
19,Private,PhD,Widowed,Craft-repair,Unmarried,Asian-Pac-Islander,Female,55,Germany,53672
45,Self-emp,Masters,Married,Other-service,Unmarried,Asian-Pac-Islander,Female,28,United-States,51669
49,Self-emp,HS-grad,Married,Tech-support,Wife,Asian-Pac-Islander,Female,51,Mexico,52286
44,Private,Bachelors,Widowed,Tech-support,Husband,Black,Female,51,Mexico,67733
37,Government,Some-college,Married,Tech-support,Wife,Black,Female,25,Philippines,67410
41,Private,HS-grad,Single,Other-service,Wife,Other,Male,57,Germany,48265
29,Self-emp,HS-grad,Single,Other-service,Wife,Asian-Pac-Islander,Female,36,India,53788
52,Private,Bachelors,Widowed,Sales,Not-in-family,Black,Male,29,United-States,59789
50,Government,HS-grad,Single,Craft-repair,Unmarried,White,Female,46,United-States,32934
